Source #,Date,Time,"Time
Source","Obs
Window
(min)",Latitude,Longitude,"Location
Source",Info Source,Fire Behavior Observations,"Type
of
Fire","Residual
Fire?",SSI
TD-042,11/8/2025,8:40:00 AM,Inferred,0,39.778477,-121.577106,TD,TD,"half of mobile homes in Ridgewood mobile home park
are on fire",R,,
PPD-02,11/8/2025,8:41:00 AM,PPD-02,0,39.781406,-121.581052,video,video,spot fire,S,,
911-170-1,11/8/2025,8:43:00 AM,911-170-1,0,39.795278,-121.574962,911-170-1,911-170-1,structure on fire,R,,
PPD-02,11/8/2025,8:43:00 AM,PPD-02,0,39.779087,-121.577092,Radio,Radio,"Ridgewood mobile home park; fires directly behind,
homes becoming involved",R,,
TD-209,11/8/2025,8:44:00 AM,AVL,2,39.745602,-121.572362,AVL,TD,glowing embers falling,O,,
911-174-1,11/8/2025,8:44:00 AM,911-174-1,0,39.768492,-121.583432,911-174-1,911-174-1,fence on fire,O,,
PPD-02,11/8/2025,8:44:00 AM,PPD-02,0,39.778876,-121.575801,Radio,Radio,north end of park is becoming involved (Ridgeway MHP),R,,
TD-064,11/8/2025,8:45:00 AM,Inferred,15,39.778683,-121.575499,TD,TD,fire is hitting gas mains,O,,
TD-064,11/8/2025,8:45:00 AM,Inferred,15,39.778299,-121.575586,TD,TD,"fire moving deeper into Ridgewood MHP down both
rows",R,,
TD-064,11/8/2025,8:45:00 AM,Inferred,15,39.777563,-121.576324,TD,TD,"additional mobile homes in Ponderosa MHP catch on
fire",R,,
TD-016,11/8/2025,8:45:00 AM,TD,0,39.750708,-121.572527,TD,TD,encounter wall of fire,O,,
TD-084,11/8/2025,8:46:00 AM,AVL,127,39.753868,-121.572262,AVL,TD,bumpers of cars igniting,O,,
TD-084,11/8/2025,8:46:00 AM,AVL,127,39.753868,-121.572262,AVL,TD,fire threatening structures,O,,
TD-084,11/8/2025,8:46:00 AM,AVL,127,39.753392,-121.572678,AVL,TD,fire threatening structures,O,,
TD-209,11/8/2025,8:46:00 AM,AVL,17,39.751665,-121.570313,AVL,TD,flames coming from the canyon,V,,
TD-067,11/8/2025,8:46:00 AM,Inferred,20,39.778443,-121.578823,TD,TD,"Ridgewood MHP, portions are burning",R,,
911-178-3,11/8/2025,8:46:00 AM,911-178-3,0,39.772408,-121.568428,911-178-3,911-178-3,residential alarm company reporting fire alarm,R,,
911-179-1,11/8/2025,8:46:00 AM,911-179-1,0,39.757048,-121.571191,911-179-1,911-179-1,hospital fire alarm,C,,
TD-045,11/8/2025,8:47:00 AM,AVL,0,39.779343,-121.576061,AVL,TD,two houses to south of field cannot be saved,R,,
TD-103,11/8/2025,8:47:00 AM,AVL,148,39.755683,-121.571747,AVL,TD,fire approaches from east,V,,
TD-103,11/8/2025,8:47:00 AM,AVL,148,39.753133,-121.572216,TD,TD,fire all around; all homes involved,R,,
TD-103,11/8/2025,8:47:00 AM,AVL,148,39.756426,-121.571397,TD,TD,FRH: Cancer center catches fire,C,,
TD-122,11/8/2025,8:47:00 AM,AVL,1,39.742333,-121.572883,AVL,TD,edge of fire,O,,
VTD-17,11/8/2025,8:47:00 AM,TD,3,39.756884,-121.568212,video,video,smoke coming from behind hospital,V,,
TD-005,11/8/2025,8:48:00 AM,AVL,0,39.755324,-121.570642,AVL,TD,house at end of street 50 % involved,R,,
TD-061,11/8/2025,8:48:00 AM,AVL,5,39.781479,-121.573042,AVL,TD,civilian POV igniting on seat,O,,
TD-061,11/8/2025,8:48:00 AM,AVL,9,39.77962,-121.570612,TD,TD,fire impacting homes along Shay Ln,O,,
TD-061,11/8/2025,8:48:00 AM,AVL,9,39.782423,-121.571996,TD,TD,multiple spot fires,S,,
TD-123,11/8/2025,8:48:00 AM,AVL,0,39.747928,-121.572361,AVL,TD,can hear propane tanks exploding,O,,
